id,tenant_id,year_month,total_calls,successful_calls,failed_calls,total_tokens,total_cost_usd,cost_change_pct,tokens_change_pct
65090bbf-b371-4e25-9a5f-6fe0084f8406,C1_SMALL,202501,1482,1386,75,4018077,32.74045700,,
b4084f37-d1cb-4a4d-b013-4d9136c8a79b,C2_MEDIUM,202501,5972,5556,295,15897281,122.17304300,,
b3a51a04-f4e6-4c6b-b1b7-c351c89ce646,C3_ENTERPRISE,202501,23912,22325,1116,64554068,513.71791100,,
f0d2d252-3fb3-4a41-8899-895d43696806,C1_SMALL,202502,1504,1401,70,4240278,37.43275300,14.3318,5.5300
012c8adf-599c-48a4-a3fa-19871124863d,C2_MEDIUM,202502,6065,5645,302,16319913,132.18890300,8.1981,2.6585
624f2c6d-c1d7-474f-83bb-3d724768f735,C3_ENTERPRISE,202502,24281,22583,1221,64992257,530.33293100,3.2343,0.6788
b2c5edb1-a500-4671-b102-c763fb38b068,C1_SMALL,202503,1836,1697,102,4872436,40.94720900,9.3887,14.9084
9499f465-81ef-4198-a2b7-f069be19be19,C2_MEDIUM,202503,7396,6864,377,19970827,168.94177700,27.8033,22.3709
ec40ce69-6edd-4379-b358-7b4d56250963,C3_ENTERPRISE,202503,29596,27579,1455,79619745,636.13841400,19.9508,22.5065
2790a317-9b06-41fd-9273-d884ad787d35,C1_SMALL,202504,2026,1892,100,5547417,45.56510900,11.2777,13.8531
8dfc3fa3-deb2-447b-8421-6c5a7e502e4e,C2_MEDIUM,202504,8156,7599,392,22230356,186.19630700,10.2133,11.3141
427e449a-e580-499b-8693-8de7d5ac4ddc,C3_ENTERPRISE,202504,32633,30303,1648,87342820,707.30922900,11.1879,9.6999
c3ffb9bf-6fbc-40b0-b379-0d7ceb2d320c,C1_SMALL,202505,2283,2141,111,6166792,48.07757900,5.5140,11.1651
647bea15-0380-4236-8354-eed2d1aa84e7,C2_MEDIUM,202505,9176,8495,487,25047687,195.06432000,4.7627,12.6734
1c5dc6de-201c-468e-bf73-2c85f1d06296,C3_ENTERPRISE,202505,36714,34156,1824,98773772,801.29737700,13.2881,13.0875
9a31d3a4-d20a-43a7-919f-805c4a20c292,C1_SMALL,202506,2398,2220,123,6645105,48.79593100,1.4942,7.7563
5a27b054-44f7-460f-a122-9e65246e021f,C2_MEDIUM,202506,9643,8918,529,26067771,215.10408600,10.2734,4.0726
0505a351-116b-4972-8d3a-e041d686b3d1,C3_ENTERPRISE,202506,38584,35867,1967,103654425,842.73207300,5.1710,4.9412
5d34920d-ef68-48a0-83bc-a4dc9575b42c,enterprise_corp,202603,21,21,0,13673,0.59095064,,
