id,tenant_id,anomaly_type,severity,detector_votes,vote_count,stl_residual_zscore,isolation_score,cusum_value,observed_value,baseline_mean,baseline_std_dev,description,trigger_log_id,resolved,resolved_at,detected_at,agent_id,model
a1260468-1a63-4c8b-bbe1-4b41cbc4ddc7,enterprise_corp,cost_spike,critical,,1,,,,24.95178681668529,1.5886078087244764,0.5,Detected highly unusual volume spike,,False,,2026-04-05 17:15:36.291717+00:00,agent_alpha,*
f1ff0750-1412-42d2-be0b-d8e3abd60633,enterprise_corp,cost_spike,medium,,1,,,,44.9263588921347,4.81805271575998,0.5,Detected highly unusual volume spike,,False,,2026-04-04 09:15:36.291717+00:00,agent_alpha,*
27439e10-9994-4aa5-8632-2ad657fb798a,enterprise_corp,latency_degradation,high,,1,,,,14.249146367219886,1.0664340391910518,0.5,Detected highly unusual volume spike,,False,,2026-04-04 07:15:36.291717+00:00,agent_alpha,*
2c97abe4-4d5f-4135-9d4f-52c2baf9894b,C3_ENTERPRISE,token_spike,warning,csv_import,1,,,,16.0,8.0,1.6,Imported anomaly flag from CSV (16 flagged calls on 2025-06-30),,False,,2025-06-30 23:59:59+00:00,*,*
451dfdae-bb4c-49aa-8893-98fbf44de54d,C2_MEDIUM,token_spike,critical,csv_import,1,,,,7.0,3.5,0.7000000000000001,Imported anomaly flag from CSV (7 flagged calls on 2025-06-30),,False,,2025-06-30 23:59:59+00:00,*,*
585fa20b-c716-4b45-b7bc-095d8652f4d0,C1_SMALL,token_spike,high,csv_import,1,,,,1.0,0.5,0.1,Imported anomaly flag from CSV (1 flagged calls on 2025-06-30),,False,,2025-06-30 23:59:59+00:00,*,*
e3a457a4-bc06-4845-a805-083bf8ca8a06,C3_ENTERPRISE,token_spike,critical,csv_import,1,,,,6.0,3.0,0.6000000000000001,Imported anomaly flag from CSV (6 flagged calls on 2025-06-29),,False,,2025-06-29 23:59:59+00:00,*,*
c773d2ea-aa81-401f-8e22-d59b44292d8b,C2_MEDIUM,token_spike,critical,csv_import,1,,,,3.0,1.5,0.30000000000000004,Imported anomaly flag from CSV (3 flagged calls on 2025-06-29),,False,,2025-06-29 23:59:59+00:00,*,*
48147c7e-22b2-4ba0-b340-33e1d4b9bbea,C3_ENTERPRISE,token_spike,high,csv_import,1,,,,13.0,6.5,1.3,Imported anomaly flag from CSV (13 flagged calls on 2025-06-28),,False,,2025-06-28 23:59:59+00:00,*,*
6230e4ab-6f49-410e-a86a-97bcbb0cdd1e,C2_MEDIUM,token_spike,high,csv_import,1,,,,3.0,1.5,0.30000000000000004,Imported anomaly flag from CSV (3 flagged calls on 2025-06-28),,False,,2025-06-28 23:59:59+00:00,*,*
064b5961-8d0f-479a-a403-d6058992429a,C1_SMALL,token_spike,high,csv_import,1,,,,1.0,0.5,0.1,Imported anomaly flag from CSV (1 flagged calls on 2025-06-28),,False,,2025-06-28 23:59:59+00:00,*,*
8aa23c03-16c7-492e-b793-0ead911f64ed,C3_ENTERPRISE,token_spike,high,csv_import,1,,,,16.0,8.0,1.6,Imported anomaly flag from CSV (16 flagged calls on 2025-06-27),,False,,2025-06-27 23:59:59+00:00,*,*
8d8ada58-9fe1-4c2d-be38-373a992a9446,C2_MEDIUM,token_spike,warning,csv_import,1,,,,8.0,4.0,0.8,Imported anomaly flag from CSV (8 flagged calls on 2025-06-27),,False,,2025-06-27 23:59:59+00:00,*,*
7db484a1-c174-40f0-b0bd-fc4101397c10,C3_ENTERPRISE,token_spike,high,csv_import,1,,,,14.0,7.0,1.4000000000000001,Imported anomaly flag from CSV (14 flagged calls on 2025-06-26),,False,,2025-06-26 23:59:59+00:00,*,*
dbd12f29-59c7-4c50-ae44-069b14a44033,C2_MEDIUM,token_spike,high,csv_import,1,,,,2.0,1.0,0.2,Imported anomaly flag from CSV (2 flagged calls on 2025-06-26),,False,,2025-06-26 23:59:59+00:00,*,*
cbf5f19c-82ee-4399-8db4-5b151d5ad6bc,C1_SMALL,token_spike,high,csv_import,1,,,,3.0,1.5,0.30000000000000004,Imported anomaly flag from CSV (3 flagged calls on 2025-06-26),,False,,2025-06-26 23:59:59+00:00,*,*
773b4f93-494b-4995-9d7f-41ccf0143747,C3_ENTERPRISE,token_spike,warning,csv_import,1,,,,17.0,8.5,1.7000000000000002,Imported anomaly flag from CSV (17 flagged calls on 2025-06-25),,False,,2025-06-25 23:59:59+00:00,*,*
5f69515b-24de-42f3-81cd-a8bb24240f66,C2_MEDIUM,token_spike,critical,csv_import,1,,,,5.0,2.5,0.5,Imported anomaly flag from CSV (5 flagged calls on 2025-06-25),,False,,2025-06-25 23:59:59+00:00,*,*
67880c99-e7b5-4485-859e-c7fded1acdfb,C1_SMALL,token_spike,warning,csv_import,1,,,,1.0,0.5,0.1,Imported anomaly flag from CSV (1 flagged calls on 2025-06-25),,False,,2025-06-25 23:59:59+00:00,*,*
82458e98-1882-45cd-a4b8-ca399b1b29c4,C3_ENTERPRISE,token_spike,warning,csv_import,1,,,,9.0,4.5,0.9,Imported anomaly flag from CSV (9 flagged calls on 2025-06-24),,False,,2025-06-24 23:59:59+00:00,*,*
1d7badfb-75bb-46f7-a765-8847cfb68bae,C2_MEDIUM,token_spike,critical,csv_import,1,,,,6.0,3.0,0.6000000000000001,Imported anomaly flag from CSV (6 flagged calls on 2025-06-24),,False,,2025-06-24 23:59:59+00:00,*,*
78d609b5-26d4-4b4c-9d58-ccce0e8c32f5,C3_ENTERPRISE,token_spike,critical,csv_import,1,,,,10.0,5.0,1.0,Imported anomaly flag from CSV (10 flagged calls on 2025-06-23),,False,,2025-06-23 23:59:59+00:00,*,*
530a06be-b05d-4a81-83b4-8f37323b5860,C2_MEDIUM,token_spike,critical,csv_import,1,,,,7.0,3.5,0.7000000000000001,Imported anomaly flag from CSV (7 flagged calls on 2025-06-23),,False,,2025-06-23 23:59:59+00:00,*,*
08569626-4554-4f86-9ca3-3be78894b677,C1_SMALL,token_spike,high,csv_import,1,,,,1.0,0.5,0.1,Imported anomaly flag from CSV (1 flagged calls on 2025-06-23),,False,,2025-06-23 23:59:59+00:00,*,*
