timestamp,tenant_id,agent_id,provider,model,input_tokens,output_tokens,total_tokens,duration_ms,status,input_cost_usd,output_cost_usd,total_cost_usd,anomaly_flag
2025-12-11T13:25:49,C1_SMALL,data_extractor,openai,gpt-3.5,1365,321,1686,2425,OK,0.000683,0.000481,0.001164,False
2025-12-11T11:33:53,C1_SMALL,support_bot,openai,gpt-3.5,840,26,866,388,ERROR,0.00042,3.9e-05,0.000459,False
2025-12-11T23:01:53,C1_SMALL,data_extractor,mistral,mistral,390,1371,1761,1912,OK,0.000117,0.001097,0.001214,False
2025-12-11T17:29:25,C1_SMALL,Audit,openai,gpt-3.5,306,336,642,682,OK,0.000153,0.000504,0.000657,False
2025-12-11T01:49:26,C1_SMALL,ops_analyzer,openai,gpt-4,540,539,1079,1998,OK,0.0054,0.01617,0.02157,False
2025-12-11T15:03:41,C1_SMALL,data_extractor,mistral,mistral,852,1193,2045,2773,OK,0.000256,0.000954,0.00121,False
2025-12-11T11:04:34,C1_SMALL,ops_analyzer,mistral,mistral,1153,133,1286,1582,OK,0.000346,0.000106,0.000452,False
2025-12-11T20:29:21,C1_SMALL,support_bot,mistral,mistral,1672,1090,2762,431,OK,0.000502,0.000872,0.001374,False
2025-12-11T19:51:03,C1_SMALL,ops_analyzer,openai,gpt-3.5,1962,814,2776,2930,OK,0.000981,0.001221,0.002202,False
2025-12-11T11:08:12,C1_SMALL,Audit,openai,gpt-4,1684,17,1701,54,ERROR,0.01684,0.00051,0.01735,False
2025-12-11T14:21:02,C1_SMALL,Audit,openai,gpt-4,886,136,1022,1150,OK,0.00886,0.00408,0.01294,False
2025-12-11T15:01:18,C1_SMALL,data_extractor,mistral,mistral,1858,779,2637,869,OK,0.000557,0.000623,0.001181,False
2025-12-11T11:04:41,C1_SMALL,ops_analyzer,mistral,mistral,1020,1424,2444,1630,OK,0.000306,0.001139,0.001445,False
2025-12-11T11:14:04,C1_SMALL,data_extractor,openai,gpt-3.5,725,936,1661,1533,OK,0.000362,0.001404,0.001767,False
2025-12-11T06:13:47,C1_SMALL,ops_analyzer,openai,gpt-4,1982,49,2031,230,ERROR,0.01982,0.00147,0.02129,False
2025-12-11T01:01:45,C1_SMALL,ops_analyzer,mistral,mistral,1803,559,2362,2271,OK,0.000541,0.000447,0.000988,False
2025-12-11T16:27:04,C1_SMALL,data_extractor,mistral,mistral,1344,1237,2581,1874,OK,0.000403,0.00099,0.001393,False
2025-12-11T14:25:21,C1_SMALL,support_bot,openai,gpt-3.5,612,43,655,155,ERROR,0.000306,6.4e-05,0.000371,False
2025-12-11T17:33:24,C1_SMALL,support_bot,mistral,mistral,393,661,1054,2705,OK,0.000118,0.000529,0.000647,False
2025-12-11T10:08:03,C1_SMALL,Audit,openai,gpt-4,325,1461,1786,2023,OK,0.00325,0.04383,0.04708,False
2025-12-11T09:28:31,C1_SMALL,support_bot,openai,gpt-3.5,517,1098,1615,309,OK,0.000258,0.001647,0.001906,False
2025-12-11T09:05:50,C1_SMALL,ops_analyzer,openai,gpt-4,649,619,1268,238,OK,0.00649,0.01857,0.02506,False
2025-12-11T11:41:59,C1_SMALL,support_bot,mistral,mistral,1700,1388,3088,1029,OK,0.00051,0.00111,0.00162,False
2025-12-11T15:49:29,C1_SMALL,ops_analyzer,openai,gpt-3.5,1376,813,2189,1629,OK,0.000688,0.001219,0.001907,False
2025-12-11T10:07:47,C1_SMALL,Audit,mistral,mistral,1402,169,1571,1021,OK,0.000421,0.000135,0.000556,False
2025-12-11T08:15:20,C1_SMALL,support_bot,mistral,mistral,1726,137,1863,1488,OK,0.000518,0.00011,0.000627,False
2025-12-11T15:51:34,C1_SMALL,ops_analyzer,openai,gpt-4,552,1014,1566,2104,OK,0.00552,0.03042,0.03594,False
2025-12-11T17:46:25,C1_SMALL,support_bot,openai,gpt-3.5,358,388,746,590,OK,0.000179,0.000582,0.000761,False
2025-12-11T11:19:09,C1_SMALL,ops_analyzer,mistral,mistral,990,635,1625,2773,OK,0.000297,0.000508,0.000805,False
2025-12-11T11:06:16,C1_SMALL,Audit,openai,gpt-4,818,571,1389,1439,OK,0.00818,0.01713,0.02531,False
2025-12-11T10:57:23,C1_SMALL,support_bot,mistral,mistral,948,372,1320,1703,OK,0.000284,0.000298,0.000582,False
2025-12-11T12:27:52,C1_SMALL,Audit,openai,gpt-3.5,872,1248,2120,1155,OK,0.000436,0.001872,0.002308,False
2025-12-11T15:16:10,C1_SMALL,ops_analyzer,openai,gpt-3.5,1138,232,1370,1790,OK,0.000569,0.000348,0.000917,False
2025-12-11T07:12:52,C1_SMALL,support_bot,openai,gpt-3.5,1812,1444,3256,2263,OK,0.000906,0.002166,0.003072,False
2025-12-11T17:31:04,C1_SMALL,support_bot,mistral,mistral,186,80,266,238,OK,5.6e-05,6.4e-05,0.00012,False
2025-12-11T17:52:07,C1_SMALL,data_extractor,mistral,mistral,1135,1373,2508,811,OK,0.00034,0.001098,0.001439,False
2025-12-11T08:27:34,C1_SMALL,ops_analyzer,mistral,mistral,1480,468,1948,486,OK,0.000444,0.000374,0.000818,False
2025-12-11T16:51:06,C1_SMALL,support_bot,openai,gpt-3.5,1610,193,1803,2767,OK,0.000805,0.000289,0.001094,False
2025-12-11T16:14:23,C1_SMALL,data_extractor,openai,gpt-3.5,900,144,1044,1707,OK,0.00045,0.000216,0.000666,False
2025-12-11T18:38:24,C1_SMALL,data_extractor,mistral,mistral,1615,1387,3002,2670,OK,0.000484,0.00111,0.001594,False
2025-12-11T08:09:31,C1_SMALL,ops_analyzer,openai,gpt-3.5,1325,634,1959,1392,OK,0.000663,0.000951,0.001613,False
2025-12-11T18:13:25,C1_SMALL,data_extractor,openai,gpt-4,303,872,1175,1229,OK,0.00303,0.02616,0.02919,False
2025-12-11T07:30:29,C1_SMALL,Audit,openai,gpt-4,856,386,1242,447,OK,0.00856,0.01158,0.02014,False
2025-12-11T15:10:37,C1_SMALL,Audit,mistral,mistral,925,1372,2297,1583,OK,0.000277,0.001098,0.001375,False
2025-12-11T12:58:58,C1_SMALL,data_extractor,openai,gpt-3.5,389,4,393,16311,TIMEOUT,0.000195,6e-06,0.000201,False
