anomaly_id,tenant_id,date,anomaly_type,severity,description,delta_cost
377a36be-bf64-4510-bab0-be316fb89d7a,C1_SMALL,2026-03-21T07:49:46.341820,error_rate_spike,high,Error rate spiked to 10% over 1 hour.,123.03
2f46a88b-78a1-4990-9356-74df6ccd1813,C1_SMALL,2026-03-09T16:34:29.341820,cost_spike,critical,Traffic surge by agent exceeding expected moving average.,131.63
9fe87faa-7fa3-4a37-b86c-56f6a48edf66,C1_SMALL,2026-04-09T18:18:40.341820,latency_spike,critical,Traffic surge by agent exceeding expected moving average.,115.84
2f3d4441-5f50-490f-ae29-683b8a02ce48,C1_SMALL,2025-11-19T11:21:36.341820,error_rate_spike,warning,Error rate spiked to 11% over 1 hour.,10.83
0dcd1884-0a4c-4c6e-b71b-bd57ff578ff3,C1_SMALL,2025-12-27T14:58:43.341820,error_rate_spike,high,Traffic surge by agent exceeding expected moving average.,42.43
02ca1bd7-6d61-481c-a6a1-bae6b9080fc2,C1_SMALL,2025-10-20T12:43:01.341820,cost_spike,medium,Unusual high cost observed for gpt-4 usage.,43.19
accef9a5-46a0-40cd-8bcb-07593e6d87fb,C1_SMALL,2026-03-30T16:28:36.341820,latency_spike,warning,Sudden 103% increase in API latency detected.,87.61
a7d0d8c9-2f74-4644-a538-3695ab1b1164,C1_SMALL,2026-03-01T14:42:39.341820,cost_spike,high,Sudden 152% increase in API latency detected.,37.88
28a3cf31-3299-4138-90c7-dadd177f8851,C1_SMALL,2026-01-22T10:23:02.341820,cost_spike,medium,Error rate spiked to 11% over 1 hour.,64.65
821570d5-0381-49ac-8714-f53e2bee36ea,C1_SMALL,2025-12-06T09:56:00.341820,latency_spike,warning,Unusual high cost observed for gpt-4 usage.,119.77
80ac9718-4b46-41ba-8bcd-583fcd9f1602,C1_SMALL,2025-11-01T21:45:22.341820,cost_spike,critical,Sudden 210% increase in API latency detected.,138.21
34d319f9-f00a-4f0c-a3cf-5979322fea24,C1_SMALL,2026-02-09T22:53:25.341820,cost_spike,medium,Sudden 317% increase in API latency detected.,133.68
ca23fd23-a44c-42e9-ba3e-96350d7db73d,C1_SMALL,2026-03-18T11:14:05.341820,cost_spike,warning,Sudden 104% increase in API latency detected.,117.36
